City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Meulaboh,ID,4.1363,96.1285,79.63,81,68,4.32,broken clouds
148,Akyab,MM,20.15,92.9,80.17,87,100,10.02,light rain
149,Longyearbyen,SJ,78.2186,15.6401,40.84,87,90,5.75,overcast clouds
150,Betioky,MG,-23.7167,44.3833,78.55,29,19,12.64,few clouds
151,Zhanaozen,KZ,43.3,52.8,68.81,20,0,12.88,clear sky
152,Rocha,UY,-34.4833,-54.3333,65.35,52,0,10.18,clear sky
153,Chicama,PE,-7.8447,-79.1469,59.54,62,71,7.94,broken clouds
154,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,100,4.0,overcast clouds
155,Sao Filipe,CV,14.8961,-24.4956,79.02,80,100,13.15,overcast clouds
156,Leningradskiy,RU,69.3833,178.4167,30.49,97,100,6.73,light snow
157,Dingle,PH,10.9995,122.6711,75.16,92,64,3.44,broken clouds
158,Kitgum,UG,3.2783,32.8867,75.78,78,76,3.22,light rain
159,Reconquista,AR,-29.15,-59.65,67.8,58,99,7.92,overcast clouds
160,Upernavik,GL,72.7868,-56.1549,30.09,87,93,10.25,light snow
161,Lebu,CL,-37.6167,-73.65,55.06,64,85,3.0,overcast clouds
162,Hualmay,PE,-11.0964,-77.6139,65.43,71,80,9.15,broken clouds
163,Carutapera,BR,-1.195,-46.02,88.48,54,9,9.46,clear sky
164,Pontianak,ID,-0.0333,109.3333,76.98,94,75,0.0,moderate rain
165,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.08,71,18,12.28,light rain
166,Berea,US,41.3662,-81.8543,80.11,77,20,1.99,few clouds
167,Vardo,NO,70.3705,31.1107,43.0,73,96,10.31,overcast clouds
168,Vodnyy,RU,63.5046,53.4095,40.78,78,100,11.16,overcast clouds
169,Bulgan,MN,48.8125,103.5347,50.58,88,97,1.1,overcast clouds
170,Kashi,CN,39.4547,75.9797,71.26,28,0,4.23,clear sky
171,Sioux Lookout,CA,50.1001,-91.917,52.21,54,2,14.38,clear sky
172,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,75,12.66,broken clouds
173,Shingu,JP,33.7333,135.9833,78.91,93,100,12.28,moderate rain
174,Panama City,PA,8.9936,-79.5197,87.75,70,20,3.44,few clouds
175,Iwanai,JP,42.9744,140.5089,61.38,94,100,6.13,overcast clouds
176,Tasiilaq,GL,65.6145,-37.6368,41.16,59,100,4.05,overcast clouds
